priority,sku,brand,name,presentation,category,required_view,current_image_status,current_rights_status,notes
"P1","coca-cola-original-pet-500ml-pack-12","Coca-Cola","Coca-Cola Original","Botella PET · 500 ml · Pack x12","gaseosas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","coca-cola-zero-pet-500ml-pack-12","Coca-Cola","Coca-Cola Zero","Botella PET · 500 ml · Pack x12","gaseosas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","sprite-original-pet-500ml-pack-12","Sprite","Sprite","Botella PET · 500 ml · Pack x12","gaseosas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","coca-cola-original-pet-1500ml-pack-6","Coca-Cola","Coca-Cola Original","Botella PET · 1500 ml · Pack x6","gaseosas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","coca-cola-zero-pet-1500ml-pack-6","Coca-Cola","Coca-Cola Zero","Botella PET · 1500 ml · Pack x6","gaseosas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","sprite-original-pet-1500ml-pack-6","Sprite","Sprite","Botella PET · 1500 ml · Pack x6","gaseosas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","fanta-naranja-pet-1500ml-pack-6","Fanta","Fanta Naranja","Botella PET · 1500 ml · Pack x6","gaseosas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","schweppes-tonica-pet-1500ml-pack-6","Schweppes","Schweppes Tónica","Botella PET · 1500 ml · Pack x6","mixers","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","schweppes-citrus-pet-1500ml-pack-6","Schweppes","Schweppes Citrus","Botella PET · 1500 ml · Pack x6","mixers","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","red-bull-original-lata-250ml","Red Bull","Red Bull Energy Drink","Lata · 250 ml · Unidad","energizantes","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","red-bull-original-lata-250ml-pack-4","Red Bull","Red Bull Energy Drink","Lata · 250 ml · Pack x4","energizantes","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","speed-original-lata-473ml","Speed","Speed Unlimited","Lata · 473 ml · Unidad","energizantes","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","speed-zero-lata-473ml","Speed","Speed Unlimited","Lata · 473 ml · Unidad","energizantes","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","monster-mango-loco-lata-473ml","Monster","Monster Mango Loco","Lata · 473 ml · Unidad","energizantes","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","heineken-original-lata-473ml","Heineken","Heineken","Lata · 473 ml · Unidad","cervezas","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","heineken-original-lata-473ml-pack-6","Heineken","Heineken","Lata · 473 ml · Pack x6","cervezas","frente del pack completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","imperial-golden-lata-473ml","Imperial","Imperial Golden","Lata · 473 ml · Unidad","cervezas","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","imperial-extra-lager-lata-473ml","Imperial","Imperial Extra Lager","Lata · 473 ml · Unidad","cervezas","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","imperial-apa-lata-473ml","Imperial","Imperial APA","Lata · 473 ml · Unidad","cervezas","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","imperial-cream-stout-lata-473ml","Imperial","Imperial Cream Stout","Lata · 473 ml · Unidad","cervezas","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","schneider-rubia-lata-710ml","Schneider","Schneider Rubia","Lata · 710 ml · Unidad","cervezas","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
"P1","corona-extra-botella-330ml","Corona","Corona Extra","Botella · 330 ml · Unidad","cervezas","frente completo","verified","","Fondo blanco mate; etiqueta, tapa/base completas; sin precio ni góndola."
